Index,Value
1306,1795
1307,1837
1308,1865
1309,1866
1310,1803
1311,1796
1312,1763
1313,1751
1314,1759
1315,1771
1316,1775
1317,1786
1318,1813
1319,1823
1320,1818
1321,1820
1322,1841
1323,1841
1324,1847
1325,1851
1326,1869
1327,1893
1328,1869
1329,1853
1330,1856
1331,1889
1332,1888
1333,1840
1334,1866
1335,1811
1336,1837
1337,1856
1338,1867
1339,1886
1340,1862
1341,1756
1342,1898
1343,2293
1344,2080
1345,1945
1346,1699
1347,1936
1348,1953
1349,1938
1350,1974
1351,1968
1352,1986
1353,1984
1354,1987
1355,1985
1356,1998
1357,2021
1358,2017
1359,2037
1360,2075
1361,2097
1362,2115
1363,2119
1364,2126
1365,2115
1366,2074
1367,2026
1368,2007
1369,1958
1370,1965
1371,1954
1372,1948
1373,1938
1374,1937
1375,1936
1376,1936
1377,1941
1378,1948
1379,1950
1380,1943
1381,1955
1382,1958
1383,2000
1384,1931
1385,1867
1386,1899
1387,1950
1388,1975
1389,1861
1390,1890
1391,1882
1392,1883
1393,1874
1394,1876
1395,1902
1396,1931
1397,1830
1398,1926
1399,2299
1400,2109
1401,2080
1402,1723
1403,1888
1404,2041
1405,1956
1406,2032
1407,2045
1408,2000
1409,2046
1410,2076
1411,2075
1412,2115
1413,2087
1414,2109
1415,2142
1416,2198
1417,2229
1418,2271
1419,2224
1420,2260
1421,2229
1422,2268
1423,2230
1424,2262
1425,2090
1426,2190
1427,2246
1428,2117
1429,2179
1430,2176
1431,2200
1432,2223
1433,2192
1434,2210
1435,2214
1436,2229
1437,2210
1438,2170
1439,2166
1440,2130
1441,2112
1442,2122
1443,2185
1444,2128
1445,2073
1446,2118
1447,2112
1448,2113
1449,2112
1450,2107
1451,2128
1452,2036
1453,2012
1454,2261
1455,2361
1456,2170
1457,2055
1458,1748
1459,2035
1460,1997
1461,1999
1462,2018
1463,1988
1464,2000
1465,1983
1466,2011
1467,1997
1468,1981
1469,2011
1470,2047
1471,2065
1472,2105
1473,2129
1474,2165
1475,2165
1476,2218
1477,2189
1478,2138
1479,2103
1480,2110
1481,2091
1482,2071
1483,2061
1484,2086
1485,2096
1486,2112
1487,2081
1488,2130
1489,2141
1490,2119
1491,2120
1492,2146
1493,2143
1494,2159
1495,2176
1496,2161
1497,2111
1498,2105
1499,2127
